,,,,,,,,,Hs_Own,P-List,P_PLow,Ck_Finish,Frq_Cking,Red_Int,TL_Red_Int,Int_CK_Finsh,Frq_PP,PcVmoney,Ef_FdW_Env,Wcost.mney_Me,Fd_Nwsted,R_Fd_Resp,Fd_Nwst_HH,Wst_Guilt,RB_Fd_Nwst,FdW_Avd,R_FdW_Bdt,E_Lftover,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self-Reported,Direct Weighed
HFIMI,HFS_ADLT,FDW,Gen_Hed,Age-Hed,Edu_Hed,Marital_Hed,HH_Size,Income_Hed,Hs_Own,P-List,P_PLow,Cook_fn,Cook_frq,Redc_Int,TL_Redc_int,Int_Cook_fn,Purch_frq,PV_Money,Eff_Env,Cost_mny,Fd_nt_sted,Redc_Resp,Fd_nt_hh,Fl_guilt,Rzd.b_Nw,FdW_Avd,Rdc_Bdt,Eat_lftv,Av-Price,hs2,Wst_Guilt_2,Red_Int_2,Frq_FdW,Self_rp,Direct_wd
0.7263987,0.171320448,7,1,37,6,1,5,1,1,2,1,2,3,3,3,3,3,1,1,1,3,3,4,3,1,2,3,1,3000,5,1,1,2,0.003,0.188
0.6528935,0.259084722,2,0,50,11,0,3,1,1,0,1,2,2,2,2,3,2,1,1,1,3,3,3,3,3,2,3,1,5000,3,1,0,2,0.0015,0.084
0.527925,0.093603723,4,1,65,7,1,7,2,1,0,2,0,3,4,1,3,3,2,0,1,3,3,1,3,2,0,3,1,5000,7,1,1,2,0.002,0.25
0.5748649,0.252133728,2,1,47,11,1,5,2,1,0,3,2,3,0,4,2,4,1,1,1,2,1,4,0,1,2,3,1,5000,3,0,0,1,0.006,0.0108
0.5638338,0.414583676,3,0,35,11,0,2,1,1,2,3,2,3,4,3,4,6,1,1,0,4,3,4,4,3,3,1,1,2000,2,1,1,2,0.015,0.321
0.6329509,0.147885724,4,1,61,13,1,5,2,1,2,2,2,3,2,1,3,4,2,0,1,3,2,3,1,3,2,1,1,3000,5,0,0,2,0.033,0.1058
0.6297529,0.130114236,4,1,65,9,1,6,2,1,1,4,2,3,2,2,1,4,1,1,0,3,1,2,0,4,2,1,1,5000,6,0,0,2,0.022,0.163
0.572768,0.118340496,2,0,40,8,1,5,2,1,2,1,2,3,3,3,1,3,1,1,1,3,1,1,3,3,3,1,1,6000,5,1,1,2,0,0.081
0.6030071,0.126682164,7,0,49,11,1,7,2,1,2,1,2,3,3,1,2,3,1,1,1,3,1,1,3,1,2,3,1,5000,7,1,1,1,0.026,0.274
0.6445224,0.126874488,4,1,72,9,1,6,1,1,2,4,2,2,3,2,3,5,1,0,1,3,3,3,3,3,3,3,1,5000,6,0,1,1,0.023,0.131
